congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
113,Senate,14307,VT,100,0,1 ,"LEAHY, Patrick Joseph",L000174,-0.37,-0.135,-28.26699,0.94946,545,10,-0.555,0.331
113,Senate,29147,VT,328,0,1 ,"SANDERS, Bernard",S000033,-0.52,-0.361,-91.70152,0.83543,510,26,-0.944,0.329
113,Senate,40909,VA,100,0,1 ,"WARNER, Mark",W000805,-0.194,-0.024,-43.58031,0.92247,540,14,-0.209,0.051
113,Senate,41305,VA,100,0,1 ,"KAINE, Timothy Michael (Tim)",K000384,-0.235,-0.105,-28.6553,0.94878,545,8,-0.245,-0.041
113,Senate,39310,WA,100,0,1 ,"CANTWELL, Maria E.",C000127,-0.292,-0.398,-17.28443,0.96912,551,4,-0.436,-0.132
113,Senate,49308,WA,100,0,1 ,"MURRAY, Patty",M001111,-0.342,-0.287,-13.73866,0.97469,536,2,-0.375,-0.179
113,Senate,14922,WV,100,0,1 ,"ROCKEFELLER, John Davison IV (Jay)",R000361,-0.326,0.177,-21.95291,0.956,487,9,-0.336,0.02
113,Senate,40915,WV,100,0,1 ,"MANCHIN, Joe, III",M001183,-0.057,0.47,-129.32753,0.78702,540,56,-0.041,0.322
113,Senate,29940,WI,100,0,1 ,"BALDWIN, Tammy",B001230,-0.522,-0.226,-18.67915,0.96661,550,8,-0.457,-0.244
113,Senate,41111,WI,200,0,1 ,"JOHNSON, Ron",J000293,0.602,-0.313,-92.49959,0.8415,536,30,0.685,-0.348
113,Senate,40707,WY,200,0,1 ,"BARRASSO, John A.",B001261,0.533,0.23,-86.368,0.85394,547,37,0.562,0.284
113,Senate,49706,WY,200,0,1 ,"ENZI, Michael B.",E000285,0.54,0.182,-82.54441,0.86017,548,32,0.573,0.411
114,Senate,49700,AL,200,0,1 ,"SESSIONS, Jefferson Beauregard III (Jeff)",S001141,0.549,0.13,-109.63029,0.76537,410,46,0.635,0.2
114,Senate,94659,AL,200,0,1 ,"SHELBY, Richard C.",S000320,0.431,0.535,-102.5297,0.77537,403,43,0.587,0.561
114,Senate,40300,AK,200,0,1 ,"MURKOWSKI, Lisa",M001153,0.207,-0.288,-134.72797,0.72165,413,65,0.299,-0.253
114,Senate,41500,AK,200,0,1 ,"SULLIVAN, Daniel Scott",S001198,0.466,0.08,-101.38074,0.78187,412,34,0.46,0.144
114,Senate,15039,AZ,200,0,1 ,"McCAIN, John Sidney, III",M000303,0.381,-0.626,-118.10444,0.74972,410,59,0.464,-0.312
